"asn","name","description","country_code","traffic_estimation","traffic_ratio","rir_country_code","rir_date_allocated"
"269559","J J T SANTOS - SERVICOS WEB E SOLUCOES PARA INTERN","J J T SANTOS - SERVICOS WEB E SOLUCOES PARA INTERN","BR","","Balanced","BR",2019-11-14
"63526","SSDTL-BD","Systems Solutions & development Technologies Limited","BD","20-50Gbps","Heavy Outbound","BD",2014-08-11
"25398","TSP-AS","Technosphere Ltd.","UA","","","UA",2002-11-11
"28227","NOVACIA TECNOLOGIA E TELECOMUNICACOES LTDA","NOVACIA TECNOLOGIA E TELECOMUNICACOES LTDA","BR","1-5Gbps","Mostly Inbound","BR",2008-07-01
"6702","APEXNCC-AS","Gagarina avenue, building 7, room 61","UA","","Not Disclosed","UA",1996-07-05
"36925","ASMedi","Meditelecom","MA","","Not Disclosed","MA",2006-11-28
"63949","AKAMAI-LINODE-AP","Akamai Connected Cloud","SG","1-5Tbps","Mostly Outbound","SG",2015-02-16
"45820","TTSL-MEISISP","Tata Teleservices ISP AS","IN","","Not Disclosed","IN",2009-06-26
"264087","FUNDACAO PAULISTA DE TECNOLOGIA E EDUCACAO","FUNDACAO PAULISTA DE TECNOLOGIA E EDUCACAO","BR","","","BR",2015-10-29
"9931","CAT-AP","The Communication Authoity of Thailand, CAT","TH","20-50Gbps","Mostly Inbound","TH",2000-04-05
"11556","Cable & Wireless Panama","Cable & Wireless Panama","PA","500-1000Gbps","Heavy Inbound","PA",1998-10-02
"13124","A1BG_RSD","A1 Bulgaria EAD","BG","50-100Gbps","Balanced","BG",2000-03-24
"47165","OMKC-AS","Omskie kabelnye seti Ltd.","RU","","Not Disclosed","RU",2008-05-07
"62343","VERIXI-FR-AS","VERIXI SAS","FR","","","FR",2023-08-15
"209160","Miti2000","Miti 2000 EOOD","BG","","","BG",2019-03-27
"17882","Univision-AS-AP","UNIVISION LLC","MN","200-300Gbps","Balanced","MN",2001-07-24
"43434","CONTACTTV-AS","Contact TV Inc.","RU","","","RU",2007-07-31
"49722","SP-LINE-AS","SP Line Ltd","RU","","Not Disclosed","RU",2009-08-27
"9146","BIHNET","BIHNET Autonomus System","BA","300-500Gbps","Heavy Inbound","BA",1999-01-12
"48503","TELE2-KZ","Tele2 Kazakhstan","KZ","500-1000Gbps","Mostly Inbound","KZ",2008-12-04
"17747","SITINETWORS-IN-AP","SITI NETWORKS LIMITED","IN","100-200Gbps","Mostly Inbound","IN",2001-05-04
"38264","WATEEN-IMS-PK-AS-AP","National WiMAX/IMS environment","PK","","Mostly Inbound","PK",2006-10-17
"8905","DIGIT1-AS","Digit One Moscow Network","RU","","Not Disclosed","RU",1998-07-28
"200019","AlexHost","ALEXHOST SRL","MD","10-20Gbps","Mostly Outbound","MD",2013-10-30
"138172","BOOMINFOTECH-AS-AP","Boom Info Tech (SMC-Pvt) Ltd","PK","5-10Gbps","Balanced","PK",2018-08-30
"13999","Mega Cable, S.A. de C.V.","Mega Cable, S.A. de C.V.","MX","1-5Tbps","Heavy Inbound","MX",1999-10-01
"11172","Alestra, S. de R.L. de C.V.","Alestra, S. de R.L. de C.V.","MX","50-100Gbps","Mostly Inbound","MX",1998-05-05
"6849","UKRTELNET","JSC ""Ukrtelecom""","UA","200-300Gbps","Mostly Inbound","UA",1996-11-29
"12479","UNI2-AS","Orange Espagne SA","ES","","Not Disclosed","ES",1999-06-09
"16735","ALGAR TELECOM S/A","ALGAR TELECOM S/A","BR","1-5Tbps","Mostly Inbound","BR",2000-08-17
"134548","DXTL-HK","DXTL Tseung Kwan O Service","HK","50-100Gbps","Balanced","HK",2015-08-28
"34550","INTERCON-AS","INTERCON AS","RU","","","RU",2005-02-14
"17665","ONEBROADBAND","ONEOTT INTERTAINMENT LIMITED","IN","500-1000Gbps","Balanced","IN",2001-03-14
"28635","Titania Telecom","Titania Telecom","BR","100-1000Mbps","Mostly Inbound","BR",2006-03-08
"49749","VMS-AS","VostokMediaSvyaz Ltd.","RU","","","RU",2009-09-03
"47452","iMAX-AS","East Telecom ASN (EVO)","UZ","1-5Gbps","Mostly Inbound","UZ",2008-06-20
